wahlbezirk_id;bevoelkerungsbestand;frauen;maenner;deutsche;auslaender_innen;personen_mit_migrationshintergrund;datum
00;299811;153924;145887;223997;75814;143976;2026-01-31
0111;2680;1349;1331;1503;1177;1725;2026-01-31
0112;2308;1121;1187;1326;982;1423;2026-01-31
0121;2388;1162;1226;1502;886;1352;2026-01-31
0122;2114;1017;1097;1391;723;1117;2026-01-31
0123;2089;1057;1032;1359;730;1136;2026-01-31
0131;2178;1072;1106;1391;787;1192;2026-01-31
0132;1765;902;863;1240;525;856;2026-01-31
0133;1779;863;916;1309;470;861;2026-01-31
0151;2634;1349;1285;1719;915;1507;2026-01-31
0152;2788;1432;1356;1704;1084;1748;2026-01-31
0211;1534;828;706;1336;198;480;2026-01-31
0212;1217;647;570;1096;121;266;2026-01-31
0213;1501;805;696;1263;238;520;2026-01-31
0221;1681;878;803;1317;364;632;2026-01-31
0222;1704;879;825;1465;239;534;2026-01-31
0231;1497;800;697;1269;228;453;2026-01-31
0232;1646;878;768;1417;229;516;2026-01-31
0241;1651;889;762;1381;270;606;2026-01-31
0242;1919;1037;882;1529;390;868;2026-01-31
0243;1685;913;772;1406;279;573;2026-01-31
0244;2031;1022;1009;1480;551;968;2026-01-31
0251;1781;918;863;1446;335;648;2026-01-31
0271;1607;876;731;1348;259;573;2026-01-31
0281;1590;918;672;1316;274;526;2026-01-31
0311;2048;992;1056;1374;674;1132;2026-01-31
0321;1358;748;610;1147;211;440;2026-01-31
0322;1237;673;564;889;348;590;2026-01-31
0331;1569;843;726;1247;322;625;2026-01-31
0421;2243;1119;1124;1508;735;1352;2026-01-31
0451;2010;1018;992;1565;445;1011;2026-01-31
0452;546;297;249;435;111;206;2026-01-31
0453;1432;771;661;1214;218;575;2026-01-31
0461;1753;861;892;1311;442;872;2026-01-31
0511;1702;882;820;1331;371;638;2026-01-31
0512;1660;872;788;1324;336;644;2026-01-31
0513;2412;1268;1144;1763;649;1318;2026-01-31
0521;1200;628;572;969;231;485;2026-01-31
0522;1136;589;547;936;200;448;2026-01-31
0611;3586;1809;1777;1849;1737;2545;2026-01-31
0621;1818;954;864;1393;425;727;2026-01-31
0622;1856;916;940;1393;463;828;2026-01-31
0623;2162;1107;1055;1519;643;1178;2026-01-31
0624;1749;913;836;1381;368;758;2026-01-31
0631;2109;1137;972;1593;516;1031;2026-01-31
0641;2530;1309;1221;1719;811;1573;2026-01-31
0642;2442;1261;1181;1877;565;1327;2026-01-31
0651;3342;1743;1599;2104;1238;2294;2026-01-31
0671;1431;755;676;1203;228;468;2026-01-31
0711;3550;1933;1617;2535;1015;2691;2026-01-31
