ortsbezirk_id;ortsbezirk_name;bevoelkerungsbestand;frauen;maenner;deutsche;auslaender_innen;personen_mit_migrationshintergrund;datum
00;Wiesbaden;299811;153924;145887;223997;75814;143976;2026-01-31
01;Mitte;22723;11324;11399;14444;8279;12917;2026-01-31
02;Nordost;23044;12288;10756;19069;3975;8163;2026-01-31
03;Südost;22306;11561;10745;17013;5293;10336;2026-01-31
06;Rheingauviertel, Hollerborn;23025;11904;11121;16031;6994;12729;2026-01-31
07;Klarenthal;11099;5867;5232;8201;2898;7249;2026-01-31
08;Westend, Bleichstraße;18011;9020;8991;10805;7206;10517;2026-01-31
11;Sonnenberg;7711;4133;3578;6694;1017;2105;2026-01-31
12;Bierstadt;12941;6813;6128;10547;2394;4990;2026-01-31
13;Erbenheim;10791;5493;5298;7723;3068;5737;2026-01-31
14;Biebrich;39634;20271;19363;27959;11675;21284;2026-01-31
16;Dotzheim;28718;14711;14007;21637;7081;15531;2026-01-31
21;Rambach;2126;1113;1013;1826;300;564;2026-01-31
22;Heßloch;671;344;327;605;66;136;2026-01-31
23;Kloppenheim;2270;1146;1124;2015;255;548;2026-01-31
24;Igstadt;2166;1103;1063;1973;193;473;2026-01-31
25;Nordenstadt;9542;4917;4625;7878;1664;3839;2026-01-31
26;Delkenheim;5170;2612;2558;4066;1104;2307;2026-01-31
27;Schierstein;11270;5802;5468;9051;2219;5037;2026-01-31
28;Frauenstein;2300;1172;1128;2079;221;501;2026-01-31
31;Naurod;4375;2272;2103;3944;431;888;2026-01-31
32;Auringen;3303;1711;1592;3034;269;643;2026-01-31
33;Medenbach;2551;1312;1239;2125;426;786;2026-01-31
34;Breckenheim;3318;1704;1614;2994;324;732;2026-01-31
51;Amöneburg;1780;865;915;1157;623;1203;2026-01-31
52;Kastel;13942;6809;7133;9741;4201;7474;2026-01-31
53;Kostheim;15024;7657;7367;11386;3638;7287;2026-01-31
