"sozialwohnungen";"anzahl_der_angebotenen_mietwohnungen";"angebotsmieten";"jahr";"ortsbezirk_id";"ortsbezirk_name"
423;868;13,1;2023;"03";"Südost"
40;44;11,6;2023;"21";"Rambach"
953;1500;12;2023;"01";"Mitte"
0;6;10,1;2023;"22";"Heßloch"
60;235;13,5;2023;"11";"Sonnenberg"
133;154;12,1;2023;"27";"Schierstein"
519;270;12,2;2023;"12";"Bierstadt"
30;34;12,1;2023;"28";"Frauenstein"
28;65;10,8;2023;"26";"Delkenheim"
0;41;11,8;2023;"34";"Breckenheim"
0;62;11,2;2023;"33";"Medenbach"
965;173;12,3;2023;"53";"Kostheim"
972;511;11,7;2023;"16";"Dotzheim"
102;1029;13,3;2023;"02";"Nordost"
198;809;11,1;2023;"08";"Westend, Bleichstraße"
8705;8634;12;2023;"00";"Wiesbaden"
1339;989;11,4;2023;"14";"Biebrich"
44;35;11;2023;"24";"Igstadt"
84;17;12;2023;"23";"Kloppenheim"
528;846;12,2;2023;"06";"Rheingauviertel, Hollerborn"
574;302;12;2023;"52";"Kastel"
0;99;11,3;2023;"31";"Naurod"
346;216;10,9;2023;"13";"Erbenheim"
168;139;12,3;2023;"25";"Nordenstadt"
24;31;11,1;2023;"32";"Auringen"
75;13;10;2023;"51";"Amöneburg"
1100;146;10,4;2023;"07";"Klarenthal"
84;23;11,1;2022;"23";"Kloppenheim"
326;218;10,9;2022;"13";"Erbenheim"
75;8;11,6;2022;"51";"Amöneburg"
137;130;12,5;2022;"25";"Nordenstadt"
971;484;10,5;2022;"16";"Dotzheim"
424;871;12,5;2022;"03";"Südost"
541;328;11,3;2022;"12";"Bierstadt"
1174;136;10,4;2022;"07";"Klarenthal"
526;887;11,6;2022;"06";"Rheingauviertel, Hollerborn"
100;1115;12,9;2022;"02";"Nordost"
0;87;11,4;2022;"31";"Naurod"
24;37;10,8;2022;"32";"Auringen"
44;21;10,7;2022;"24";"Igstadt"
28;68;10,3;2022;"26";"Delkenheim"
40;49;10,3;2022;"21";"Rambach"
60;232;13;2022;"11";"Sonnenberg"
841;195;11,7;2022;"53";"Kostheim"
568;243;11,4;2022;"52";"Kastel"
1389;929;11,4;2022;"14";"Biebrich"
0;52;10,5;2022;"34";"Breckenheim"
30;39;11,2;2022;"28";"Frauenstein"
203;821;10,7;2022;"08";"Westend, Bleichstraße"
0;85;10;2022;"33";"Medenbach"
106;163;11,3;2022;"27";"Schierstein"
0;6;10,3;2022;"22";"Heßloch"
1046;1764;11,3;2022;"01";"Mitte"
8737;8991;11,5;2022;"00";"Wiesbaden"
532;352;11;2021;"52";"Kastel"
