"ortsbezirk_id";"ortsbezirk_name"
"03";"Südost"
"16";"Dotzheim"
"32";"Auringen"
"28";"Frauenstein"
"31";"Naurod"
"08";"Westend, Bleichstraße"
"52";"Kastel"
"27";"Schierstein"
"33";"Medenbach"
"12";"Bierstadt"
"21";"Rambach"
"14";"Biebrich"
"06";"Rheingauviertel, Hollerborn"
"34";"Breckenheim"
"26";"Delkenheim"
"23";"Kloppenheim"
"25";"Nordenstadt"
"22";"Heßloch"
"24";"Igstadt"
"53";"Kostheim"
"51";"Amöneburg"
"00";"Wiesbaden"
"13";"Erbenheim"
"02";"Nordost"
"07";"Klarenthal"
"01";"Mitte"
"11";"Sonnenberg"
"00";"Wiesbaden"
