Ortsbezirk,"Wahlberechtigte
insgesamt","Wähler
insgesamt","gültige
Stimmen",SPD,"",CDU,GRÜNE,FDP,AfD,DIE LINKE,"FW FREIE
WÄHLER","DIE
TIERSCHUTZPARTEI","Die
PARTEI",Volt,"Partei der
Humanisten",MLPD,"BÜNDNIS
DEUTSCHLAND",BSW
01 Mitte,12961,10096,10051,1600,"15,9",1656,2343,538,974,2011,60,89,74,175,28,8,14,481
02 Nordost,16495,13811,13758,2132,"15,5",4604,2611,1206,1277,1034,69,91,46,186,10,5,19,468
03 Südost,14290,11949,11891,1985,"16,7",3403,2224,854,1275,1269,86,85,56,150,11,4,17,472
"06 Rheingauviertel, Hollerborn",13242,10372,10304,1834,"17,8",1980,2005,460,1277,1728,73,114,46,159,9,5,11,603
07 Klarenthal,6532,4638,4581,873,"19,1",936,341,171,1177,604,27,48,18,37,3,2,10,334
"08 Westend, Bleichstraße",9183,7123,7092,1112,"15,7",887,1758,256,605,1769,34,76,60,160,9,6,5,355
11 Sonnenberg,5770,4992,4966,662,"13,3",2070,812,534,414,238,24,29,13,40,5,1,3,121
12 Bierstadt,8781,7153,7099,1336,"18,8",2231,1053,400,930,594,70,71,43,70,8,2,8,283
13 Erbenheim,6160,4693,4659,831,"17,8",1207,496,225,804,557,89,51,17,49,6,4,5,318
14 Biebrich,22742,17250,17122,3254,"19,0",4119,2544,861,2686,2030,149,209,79,180,21,12,29,949
16 Dotzheim,17426,13267,13139,2346,"17,9",3280,1696,588,2554,1415,90,144,57,140,11,2,17,799
21 Rambach,1586,1335,1324,256,"19,3",421,212,80,163,109,10,15,2,13,7,0,2,34
22 Heßloch,533,480,476,95,"20,0",207,60,20,39,29,4,5,1,1,2,0,0,13
23 Kloppenheim,1660,1416,1400,246,"17,6",466,234,77,171,82,22,11,9,15,0,0,3,64
24 Igstadt,1648,1463,1459,261,"17,9",499,265,71,182,90,11,20,4,6,0,0,0,50
25 Nordenstadt,6284,5259,5229,930,"17,8",1899,625,320,721,303,65,51,16,59,3,0,4,233
26 Delkenheim,3254,2665,2650,520,"19,6",868,290,136,426,190,23,31,9,24,1,1,0,131
27 Schierstein,7468,5922,5865,1109,"18,9",1613,646,272,1075,530,64,50,28,55,10,4,17,392
28 Frauenstein,1791,1555,1545,259,"16,8",567,171,75,273,81,23,14,5,6,0,0,1,70
31 Naurod,3337,3001,2992,535,"17,9",1184,444,171,324,129,30,35,10,29,2,0,5,94
32 Auringen,2503,2230,2220,400,"18,0",775,353,142,286,124,28,23,7,19,0,2,4,57
33 Medenbach,1778,1463,1457,263,"18,1",446,130,79,325,84,18,22,6,19,2,0,6,57
34 Breckenheim,2518,2187,2174,393,"18,1",884,275,133,257,95,25,19,10,25,2,2,2,52
51 Amöneburg,865,592,583,121,"20,8",117,48,22,127,96,3,4,2,2,1,0,1,39
52 Kastel,8030,6121,6073,1011,"16,6",1188,1017,285,1007,927,55,81,42,78,14,1,8,359
53 Kostheim,9201,7174,7099,1347,"19,0",1682,841,258,1387,823,92,116,34,79,8,0,12,420
insgesamt,186038,148207,147208,25711,"17,5",39189,23494,8234,20736,16941,1244,1504,694,1776,173,61,203,7248
